Headline,URL
তথ্য ও প্রযুক্তি খাতে বেড়েছে বরাদ্দ,https://www.dailyamardesh.com/national/amdbbkua2cleo
বাজেটে মেট্রোরেলে বরাদ্দ দ্বিগুণ,https://www.dailyamardesh.com/national/amdb0bj5p0juu
বিনিয়োগ পরিবেশ নিয়ে শঙ্কা-ফিকির,https://www.dailyamardesh.com/business/amd2wpywnun9z
ধর্ম মন্ত্রণালয়ের বরাদ্দ বেড়েছে ২৪১ কোটি টাকা,https://www.dailyamardesh.com/business/amdnxk70pvxlt
অন্তর্বর্তী সরকারের কঠোর অবস্থান ব্যবসায়ী সিন্ডিকেট ভেঙেছে,https://www.dailyamardesh.com/video/amdiaj0stgofq
কালো টাকা সাদা করার সিদ্ধান্ত সংবিধান পরিপন্থি: টিআইবি,https://www.dailyamardesh.com/national/amdagdnxwa07e
টি-টোয়েন্টিতে যেসব কারণে হারে বাংলাদেশ,https://www.dailyamardesh.com/sports/amd06p5s6spyb
"কর আদায়-কালো টাকা সাদা, চ্যালেঞ্জে সরকার",https://www.dailyamardesh.com/business/amdiaeplhu4gc
"টাঙ্গাইলে ট্রাক ও মাইক্রোবাস সংঘর্ষ, নিহত ৩",https://www.dailyamardesh.com/bangladesh/amdc6ohke3rzo
"পাঞ্জাব নাকি ব্যাঙ্গালুরু, কে হাসবে শেষ হাসি?",https://www.dailyamardesh.com/sports/amdwd1vtqj8xy
এবারের বাজেটে ভিন্নতা রয়েছে : ড. জাহিদ হোসেন,https://www.dailyamardesh.com/business/amdp7vr2ea8bt
নির্বাচনী রোডম্যাপ ঘোষণা দেরি হলে সরকারের উদ্দেশ্য নিয়ে প্রশ্ন ওঠবে: মির্জা ফখরুল,https://www.dailyamardesh.com/politics/amddl17suemr0
বাজেটকে গতানুগতিক বলছে বিএনপি-জামায়াতসহ বিভিন্ন দল,https://www.dailyamardesh.com/business/amdjhfx2kzkpp
১২ হাজার সেনার মরদেহ বিনিময় করবে রাশিয়া-ইউক্রেন,https://www.dailyamardesh.com/world/amdfzkl9p4vgl
দ্রব্যমূল্য নিয়ে স্বস্তিতে মানুষ কমেছে অধিকাংশ পণ্যের দাম,https://www.dailyamardesh.com/business/amdft41pfbntu
শহীদ মাসুমের মাথায় লাগে আওয়ামী ক্যাডারদের ছোড়া গুলি,https://www.dailyamardesh.com/july-revolution/amdheneq1dk9s
গাজায় আরও ৫২ ফিলিস্তিনি নিহত,https://www.dailyamardesh.com/world/amdekq2dedybp
ট্রেনের ১৩ জুনের টিকিট বিক্রি শুরু,https://www.dailyamardesh.com/national/amdnaavpfqln9
আমার দেশ স্পেশাল,https://www.dailyamardesh.com/amar-desh-special
রাজস্ব আদায়ের অসম্ভব লক্ষ্য এনবিআরের কাঁধে,https://www.dailyamardesh.com/amar-desh-special/amdehzoqbicgj
হাসিনার বিচার শুরু,https://www.dailyamardesh.com/amar-desh-special/amdldm4xi9yf7
চিকিৎসাব্যয়ের পাগলা ঘোড়া ছুটছেই,https://www.dailyamardesh.com/amar-desh-special/amdr0gc8sq2zm
চট্টগ্রাম থেকে জুলাইয়ে শুরু হচ্ছে কার্গো ফ্লাইট,https://www.dailyamardesh.com/amar-desh-special/amdhmjzlzuow0
মতামত,https://www.dailyamardesh.com/op-ed
কৃত্রিম নির্বাচনি সংকট : অকৃত্রিম ঐকমত্যের প্রত্যাশা,https://www.dailyamardesh.com/op-ed/amdtpvhhk4ww1
আমেরিকার অস্ত্র কূটনীতির ফাঁদে মধ্যপ্রাচ্য,https://www.dailyamardesh.com/op-ed/amdzlyek1z94y
মুক্তির পথ কি শুধুই নির্বাচন,https://www.dailyamardesh.com/op-ed/amdyucyjfzpxv
সচিবালয়ে বিক্ষোভ এবং বাস্তবতা,https://www.dailyamardesh.com/op-ed/amdydn0cx3un3
জুলাই বিপ্লব,https://www.dailyamardesh.com/july-revolution
শহীদ মাসুমের মাথায় লাগে আওয়ামী ক্যাডারদের ছোড়া গুলি,https://www.dailyamardesh.com/july-revolution/amdheneq1dk9s
"জুলকার নেই, এখনো মানতে পারছেন না মা",https://www.dailyamardesh.com/july-revolution/amd4gd5o943oo
পথে বসেছে পুলিশের গুলিতে শহীদ বিপ্লবের পরিবার,https://www.dailyamardesh.com/july-revolution/amdcvmqfptrkq
ভিডিও,https://www.dailyamardesh.com/video
ভারতীয় গণমাধ্যমে মিথ্যাচারের তীব্র প্রতিবাদ জানালো সেনাবাহিনী,https://www.dailyamardesh.com/video/amdmzvp8sn82q
জুলাই বিপ্লবের সঙ্গে বিশ্বাসঘাতকতা,https://www.dailyamardesh.com/video/amdde4b9xm2xt
হাসিনার বিচার শুরু,https://www.dailyamardesh.com/video/amdagzgrlurxo
হাসিনার বিরুদ্ধে গ্রেপ্তারি পরোয়ানা জারি,https://www.dailyamardesh.com/video/amdap8iwqozk4
নির্বাচন বিষয়ে ভারতের মন্তব্যের প্রতিবাদ জামায়াতের,https://www.dailyamardesh.com/video/amdrkyedp95og
রাজনীতি,https://www.dailyamardesh.com/politics
খুলনায় বিএনপির রাজনীতিতে লবীর প্রত্যাবর্তন নিয়ে ক্ষোভ,https://www.dailyamardesh.com/politics/amdhsgs4nulri
"আমাদের ওপর মনঃক্ষুণ্ন হবেন না, প্রধান উপদেষ্টাকে সালাহউদ্দিন",https://www.dailyamardesh.com/politics/amdlhni5tv5ce
বাজেট নিয়ে কঠোর সমালোচনায় বিএনপি,https://www.dailyamardesh.com/politics/amdo5tmeqf5vq
প্রধান উপদেষ্টার বৈঠকে যোগ দেবে বিএনপি,https://www.dailyamardesh.com/politics/amdtwriozlbwu
প্রধান উপদেষ্টার সঙ্গে রাজনৈতিক দলগুলোর বৈঠক আজ,https://www.dailyamardesh.com/national/amdiyu6tetkfb
অর্থনীতি,https://www.dailyamardesh.com/business
"কর আদায়-কালো টাকা সাদা, চ্যালেঞ্জে সরকার",https://www.dailyamardesh.com/business/amdiaeplhu4gc
রাজস্ব আদায়ের অসম্ভব লক্ষ্য এনবিআরের কাঁধে,https://www.dailyamardesh.com/amar-desh-special/amdehzoqbicgj
এবারের বাজেটে ভিন্নতা রয়েছে : ড. জাহিদ হোসেন,https://www.dailyamardesh.com/business/amdp7vr2ea8bt
প্রস্তাবিত বাজেটে বিদ্যুতের দাম বাড়ছে না,https://www.dailyamardesh.com/business/amdqq9clwdz3u
খেলা,https://www.dailyamardesh.com/sports
৬ মাস পর জাতীয় দলে মেসি,https://www.dailyamardesh.com/sports/amdwktk9rj8at
টি-টোয়েন্টিতে যেসব কারণে হারে বাংলাদেশ,https://www.dailyamardesh.com/sports/amd06p5s6spyb
রাসেল-হোল্ডারদের ফেরাল ওয়েস্ট ইন্ডিজ,https://www.dailyamardesh.com/sports/amdcoa0ijyjpl
"পাঞ্জাব নাকি ব্যাঙ্গালুরু, কে হাসবে শেষ হাসি?",https://www.dailyamardesh.com/sports/amdwd1vtqj8xy
সারা দেশ,https://www.dailyamardesh.com/bangladesh
চট্টগ্রামের যুবক বগুড়ায় দুর্বৃত্তদের ছুরিকাঘাতে নিহত,https://www.dailyamardesh.com/bangladesh/rajshahi/amdhx5qaxvm6g
"মাদারগঞ্জে দোকান দখলের অভিযোগ, তিন যুবদল নেতা গ্রেপ্তার",https://www.dailyamardesh.com/bangladesh/mymensingh/amdjnsya95trw
"রংপুরে ইরানি দম্পতিকে মারধর করে মোবাইল-টাকা ছিনতাই, আটক ৪",https://www.dailyamardesh.com/bangladesh/rangpur/amdtp2ck075l4
বরখাস্ত বাংলাবান্ধা ইউপি চেয়ারম্যান কুদরত-ই-খুদা মিলন,https://www.dailyamardesh.com/bangladesh/rangpur/amd72vtkevoj0
কুমিল্লার মেঘনায় ভিজিএফের চাল বিতরণে অনিয়মের অভিযোগ,https://www.dailyamardesh.com/bangladesh/chattogram/amd8zmq7pyldl
"ঈশ্বরদী ইপিজেডে ডায়রিয়া পরিস্থিতির অবনতি, তদন্ত কমিটি গঠন",https://www.dailyamardesh.com/bangladesh/rajshahi/amd4rzfejpbga
কুলাউড়া সীমান্তে বাংলাদেশি যুবকের লাশ হস্তান্তর করলো বিএসএফ,https://www.dailyamardesh.com/bangladesh/sylhet/amdnleyitlz3w
ভারতের পাহাড়ি ঢলে বিপৎসীমার ওপর সুরমা-কুশিয়ারা,https://www.dailyamardesh.com/bangladesh/sylhet/amdkrvqydxdgz
বিনোদন,https://www.dailyamardesh.com/entertainment
শাকিবকে নিয়ে কোথায় উড়াল দিলেন মিষ্টি জান্নাত?,https://www.dailyamardesh.com/entertainment/amdiek1gktrbn
আ.লীগ সরকারের দুর্নীতিগ্রস্ত নির্বাচনের সাক্ষী আমি,https://www.dailyamardesh.com/entertainment/amdirplzxyzfj
কাকে খোঁচা দিলেন বুবলী,https://www.dailyamardesh.com/entertainment/amdillgfwgcz9
এশিয়ার বৃহত্তম কৃষি খামারে এবারের ‘ইত্যাদি’,https://www.dailyamardesh.com/entertainment/amdyjpb27yylr
দেশীয় রঙে হাজির পূজা চেরী,https://www.dailyamardesh.com/entertainment/amdkj3txyudpy
৫ জুন আসছে ‘বোহেমিয়ান ঘোড়া’,https://www.dailyamardesh.com/entertainment/amdicbmpaucxp
মন্দিরে যৌন হয়রানির শিকার হয়েছিলেন অভিনেত্রী অদিতি রাও,https://www.dailyamardesh.com/entertainment/amd1mpjusmuir
বিশ্ব,https://www.dailyamardesh.com/world
১২ হাজার সেনার মরদেহ বিনিময় করবে রাশিয়া-ইউক্রেন,https://www.dailyamardesh.com/world/amdfzkl9p4vgl
গাজায় আরও ৫২ ফিলিস্তিনি নিহত,https://www.dailyamardesh.com/world/amdekq2dedybp
ন্যাটোতে আক্রমণ করতে পারে রাশিয়া: জেনারেল ব্র্যয়ার,https://www.dailyamardesh.com/world/amddxrd0ibvoh
ইসরাইলি হামলায় নিহত আরও ৩৭ ফিলিস্তিনি,https://www.dailyamardesh.com/world/amdakd3hlmahd
জামায়াতের নিবন্ধন ফিরে পাওয়ার খবর ভারত-পাকিস্তানের গণমাধ্যমে,https://www.dailyamardesh.com/world/amdhqvms5tjvn
"রাশিয়ার বিমানঘাঁটিতে ইউক্রেনের ড্রোন হামলা, ক্ষতিগ্রস্ত ৪০ বিমান",https://www.dailyamardesh.com/world/amdwrnlodu9b8
ফিচার,https://www.dailyamardesh.com/feature
কোরবানির পশু ডিজিটাল হাটে,https://www.dailyamardesh.com/feature/information-technology/amdwv0oqfqvnv
তথ্যপ্রযুক্তি খাতে কার্যকর বরাদ্দের প্রত্যাশা,https://www.dailyamardesh.com/feature/information-technology/amd1rilub154l
সিলেট কৃষি বিশ্ববিদ্যালয়ের ৬ হল থেকে শেখ পরিবার-দোসরদের নাম বাদ,https://www.dailyamardesh.com/feature/campus/amdtzyo2fnv69
চাকরি,https://www.dailyamardesh.com/job
"মেট্রোরেলে ১২০ পদে চাকরির সুযোগ, আবেদন ৪ জুন পর্যন্ত",https://www.dailyamardesh.com/job/amdfeywfs6kdd
অফিসার নিয়োগ দেবে ডিবিএল গ্রুপ,https://www.dailyamardesh.com/job/amddi2mdzywpt
"লোকবল নিচ্ছে টিসিবি, আবেদন শেষ আগামীকাল",https://www.dailyamardesh.com/job/amdfwqe1bt4ba
২১০ জন লোকবল নেবে সিভিল অ্যাভিয়েশন,https://www.dailyamardesh.com/job/amducwqtj2k7m
স্বাস্থ্য,https://www.dailyamardesh.com/feature/health
রোগীদের দুর্ভোগ সীমা ছাড়িয়েছে,https://www.dailyamardesh.com/capital/amdcchznfd04r
মৌসুমি ফলে স্বাস্থ্যঝুঁকি!,https://www.dailyamardesh.com/feature/health/amd5nc3xakvig
গরমে নাক-কান-গলার সমস্যায় করণীয়,https://www.dailyamardesh.com/feature/health/amdgffsvoqn19
শিক্ষা,https://www.dailyamardesh.com/education
শিক্ষায় বরাদ্দ বাড়ছে ৯৩৫ কোটি টাকা,https://www.dailyamardesh.com/education/amdmbxe2hsk74
জগন্নাথ বিশ্ববিদ্যালয়ে ক্লাস মনিটরিং শুরু জুলাইয়ে,https://www.dailyamardesh.com/education/amdeggq9lwnos
গবেষণা চুরির অভিযোগ সত্ত্বেও দুই শিক্ষককে পদোন্নতির উদ্যোগ,https://www.dailyamardesh.com/education/amdy7i0rdarik
ধর্ম ও ইসলাম,https://www.dailyamardesh.com/religion-islam
"এক ভাগে একাধিক শরিক, কোরবানি কি বিশুদ্ধ হবে?",https://www.dailyamardesh.com/religion-islam/amdnrz4zkz5qu
ধৈর্যশীল ইসমাইল (আ.) ও কোরবানির সূচনা,https://www.dailyamardesh.com/religion-islam/amdrpkfnbjlfn
পবিত্র হজের আনুষ্ঠানিকতা শুরু ৪ জুন,https://www.dailyamardesh.com/religion-islam/amd5rknoaxtyk
তথ্য-প্রযুক্তি,https://www.dailyamardesh.com/feature/information-technology
কোরবানির পশু ডিজিটাল হাটে,https://www.dailyamardesh.com/feature/information-technology/amdwv0oqfqvnv
তথ্যপ্রযুক্তি খাতে কার্যকর বরাদ্দের প্রত্যাশা,https://www.dailyamardesh.com/feature/information-technology/amd1rilub154l
দেশে চালু হচ্ছে ডিজিটাল পেমেন্ট সেবা ‘গুগল পে’,https://www.dailyamardesh.com/feature/information-technology/amdgbnc1t7kiw
প্রবাস,https://www.dailyamardesh.com/emigration
কাতারে প্রথমবার বাংলাদেশি আম উৎসব জুনে,https://www.dailyamardesh.com/emigration/amdzkpjejergi
ক্যানবেরায় কুয়েটের প্রাক্তন শিক্ষার্থীদের পুনর্মিলনী,https://www.dailyamardesh.com/emigration/amdea9t9pqmce
মালয়েশিয়ায় বাংলাদেশ দূতাবাসে এবি পার্টির স্মারকলিপি,https://www.dailyamardesh.com/emigration/amd1ht8xuvl4a
প্রকৃতি ও পরিবেশ,https://www.dailyamardesh.com/nature-environment
বৃষ্টি কমার তথ্য জানাল আবহাওয়া অধিদপ্তর,https://www.dailyamardesh.com/nature-environment/amdz4fhbbby9y
রাজধানীসহ সারা দেশে আজও বৃষ্টি অব্যাহত থাকবে,https://www.dailyamardesh.com/nature-environment/amdlaimwjyaw8
"কবে থেকে বৃষ্টি কমবে, জানাল আবহাওয়া অফিস",https://www.dailyamardesh.com/national/amdn5mw4qawm7
